,Domestic Departure flights,Domestic Departing pax,Domestic Arrival flights,Domestic Arriving pax,Domestic Aircraft movements,Domestic Airport footfalls,International Departure flights,International Departing pax,International Arrival flights,International Arriving pax,International Aircraft movements,International Airport footfalls,IndiGo,Air India,SpiceJet,Vistara,Go First,Air Asia India,Inbound (Int),Inbound (Dom),Outbound (Int),Outbound (Dom),Total (Int),Total (Dom),Date
0,2149,264418,2143,269274,4292,533692,231,36177,238,24222,469,60399,80.80%,74.30%,83.70%,79.00%,80.00%,78.10%,1890,1817,2382,1675,4272,3492,On 19 Sep 2021
1,2149,264418,2143,269274,4292,533692,231,36177,238,24222,469,60399,80.80%,74.30%,83.70%,79.00%,80.00%,78.10%,1890,1817,2382,1675,4272,3492,On 19 Sep 2021
2,2149,264418,2143,269274,4292,533692,231,36177,238,24222,469,60399,80.80%,74.30%,83.70%,79.00%,80.00%,78.10%,1890,1817,2382,1675,4272,3492,On 19 Sep 2021
3,2149,264418,2143,269274,4292,533692,231,36177,238,24222,469,60399,80.8%,74.3%,83.7%,79.0%,80.0%,78.1%,1890,1817,2382,1675,4272,3492,On 19 Sep 2021
4,2149,264418,2143,269274,4292,533692,231,36177,238,24222,469,60399,80.8%,74.3%,83.7%,79.0%,80.0%,78.1%,1890,1817,2382,1675,4272,3492,On 19 Sep 2021
5,2149,264418,2143,269274,4292,533692,231,36177,238,24222,469,60399,80.8%,74.3%,83.7%,79.0%,80.0%,78.1%,1890,1817,2382,1675,4272,3492,On 19 Sep 2021
6,2115,238659,2109,240531,4224,479190,231,34426,226,19557,457,53983,73.5%,63.4%,79.1%,70.0%,74.3%,69.0%,908,844,3813,697,4721,1541,On 20 Sep 2021
7,1980,212352,1982,215004,3962,427356,235,35390,234,20599,469,55989,71.7%,59.2%,77.5%,69.1%,70.0%,68.7%,1329,1222,1567,1208,2896,2430,On 22 Sep 2021
8,1980,212352,1982,215004,3962,427356,235,35390,234,20599,469,55989,71.7%,59.2%,77.5%,69.1%,70.0%,68.7%,1329,1222,1567,1208,2896,2430,On 22 Sep 2021
9,1980,212352,1982,215004,3962,427356,235,35390,234,20599,469,55989,71.7%,59.2%,77.5%,69.1%,70.0%,68.7%,1329,1222,1567,1208,2896,2430,On 22 Sep 2021
10,1980,212352,1982,215004,3962,427356,235,35390,234,20599,469,55989,71.7%,59.2%,77.5%,69.1%,70.0%,68.7%,1329,1222,1567,1208,2896,2430,On 22 Sep 2021
11,2062,235792,2062,235700,4124,471492,241,36233,234,27813,475,64046,74.1%,66.3%,78.1%,75.2%,75.3%,69.9%,2235,2033,2705,2166,4940,4199,On 24 Sep 2021
12,2141,269902,2132,261146,4273,531048,232,37760,239,26352,471,64112,79.6%,75.4%,85.6%,77.8%,81.6%,78.6%,2456,1840,3288,1911,5744,3751,On 26 Sep 2021
13,2066,223206,2077,226470,4143,449676,244,36434,234,22575,478,59009,69.3%,60.3%,76.7%,65.6%,69.8%,65.0%,2013,1297,2416,1144,4429,2441,On 27 Sep 2021
14,2066,223206,2077,226470,4143,449676,244,36434,234,22575,478,59009,69.3%,60.3%,76.7%,65.6%,69.8%,65.0%,2013,1297,2416,1144,4429,2441,On 27 Sep 2021
15,1971,215569,1975,215650,3946,431219,235,35314,237,26289,472,61603,72.8%,62.4%,75.7%,70.5%,71.5%,70.6%,2713,2426,3174,2269,5887,4695,On 29 Sep 2021
16,2036,232674,2019,233267,4055,465941,229,34361,230,28372,459,62733,74.5%,71.4%,82.6%,74.4%,74.0%,73.7%,2076,1756,3062,1649,5138,3405,On 30 Sep 2021
17,1971,215569,1975,215650,3946,431219,235,35314,237,26289,472,61603,72.8%,62.4%,75.7%,70.5%,71.5%,70.6%,2713,2426,3174,2269,5887,4695,On 29 Sep 2021
18,1917,204202,1925,206915,3842,411117,196,30777,198,18726,394,49503,70.4%,55.3%,75.5%,66.1%,67.0%,69.3%,905,876,1295,744,2200,1620,On 21 Sep 2021
19,2224,269985,2214,267816,4438,537801,255,39521,252,32663,507,72184,77.6%,72.4%,84.3%,69.1%,78.1%,73.5%,3008,2211,3772,1988,6780,4199,On 02 Oct 2021
20,2190,245267,2199,250502,4389,495769,257,37718,245,28558,502,66276,72.4%,63.4%,78.1%,66.3%,71.1%,67.0%,2143,1067,2489,973,4632,2040,On 04 Oct 2021
21,2190,245267,2199,250502,4389,495769,257,37718,245,28558,502,66276,72.4%,63.4%,78.1%,66.3%,71.1%,67.0%,2143,1067,2489,973,4632,2040,On 04 Oct 2021
22,1917,204202,1925,206915,3842,411117,196,30777,198,18726,394,49503,70.4%,55.3%,75.5%,66.1%,67.0%,69.3%,905,876,1295,744,2200,1620,On 21 Sep 2021
23,1917,204202,1925,206915,3842,411117,196,30777,198,18726,394,49503,70.4%,55.3%,75.5%,66.1%,67.0%,69.3%,905,876,1295,744,2200,1620,On 21 Sep 2021
24,2187,251971,2185,252216,4372,504187,232,34344,240,29934,472,64278,75.0%,71.4%,80.6%,71.5%,72.9%,68.8%,2930,2408,3301,2284,6231,4692,On 07 Oct 2021
25,2267,258448,2268,258371,4535,516819,228,33887,221,26858,449,60745,74.0%,68.3%,79.2%,67.9%,69.9%,69.9%,2168,1604,2510,1734,4678,3338,On 12 Oct 2021
26,2345,271039,2340,270926,4685,541965,256,38988,250,32118,506,71106,72.7%,73.3%,81.3%,70.1%,69.7%,70.5%,2899,2105,3245,1942,6144,4047,On 13 Oct 2021
27,2345,271039,2340,270926,4685,541965,256,38988,250,32118,506,71106,72.7%,73.3%,81.3%,70.1%,69.7%,70.5%,2899,2105,3245,1942,6144,4047,On 13 Oct 2021
